iso1,iso2,dist,weeks,pair_location
104646,112334,9292,108.6,Same
104646,113298,9530,120.4,Same
104646,113443,9339,124.9,Same
104646,113974,9401,133.1,Same
104646,114233,9532,137.9,Same
104646,115359,8678,147.9,Same
104646,115514,9412,148.4,Same
104646,116433,9498,151.7,Same
104646,117956,9654,166.4,Same
104646,117990,9512,167.6,Same
104646,117991,8801,167.4,Same
104646,118002,9644,167.7,Same
104646,118062,9657,168.3,Same
104646,118071,9564,168.4,Same
104646,118802,9629,178.1,Same
104646,120547,10191,188.9,Same
104646,120784,9501,192.4,Same
104646,120896,9300,194.1,Same
104646,60308,1493,342.6,Same
104646,60695,10284,334.7,Same
104646,60726,10265,333.9,Same
104646,60733,10291,333.9,Same
104646,60737,1534,333.7,Same
104646,60739,10293,333.6,Same
104646,60826,10307,332.4,Same
104646,60827,10295,332.3,Same
104646,60883,10281,331.6,Same
104646,60914,10298,331,Same
104646,60930,10304,330.7,Same
104646,60952,10254,330.3,Same
104646,60953,9901,330.3,Same
104646,61157,1526,328.3,Same
104646,61271,9535,326.9,Same
104646,61918,1506,319.4,Same
104646,63004,1582,308.6,Same
104646,63770,10021,299.7,Same
104646,64476,7765,278.7,Same
104646,64602,9693,274.4,Same
104646,64631,9732,273.7,Same
104646,65002,6637,263.9,Same
104646,65516,9482,252.1,Same
104646,65587,9618,247.7,Same
104646,65614,9352,246.4,Same
104646,65830,713,237.6,Same
104646,65858,9948,236.6,Same
104646,65881,9986,235.7,Same
104646,65885,10309,235.4,Same
104646,65889,9981,235.3,Same
104646,65931,9673,233.7,Same
104646,65962,8932,231.7,Same
104646,66013,9414,227.7,Same
104646,66044,6891,225.9,Same
104646,66181,9974,218,Same
104646,66470,9160,210,Same
104646,66673,9252,207,Same
104646,66721,10308,206.3,Same
104646,66722,9346,206.4,Same
104646,66761,9394,205,Same
104646,66762,9390,205,Same
104646,66778,9394,204.9,Same
104646,66793,9394,204.4,Same
104646,66840,9394,203.3,Same
104646,66997,9567,198.3,Same
104646,67202,9900,185.9,Same
104646,67403,9640,179.6,Same
104646,67467,9900,178.6,Same
104646,67468,9492,178.7,Same
104646,67469,7990,178.6,Same
104646,67470,6471,178.7,Same
104646,67480,9492,178.6,Same
104646,67503,9491,178.3,Same
104646,67635,9922,175.7,Same
104646,67641,9923,175.6,Same
104646,67645,9923,175.4,Same
